,,,,,,,,,,,,,,,,,"0","0"
"Бренд","Группа","Код","Артикул","Номенклатура","Наименование полное","Характеристика номенклатуры","Размер","Сезон","Ссылка","Штрихкод","Цена EUR","Цена USD","Цена РУБ","Свободный остаток","Процент","Цена со скидкой","Заказ","Сумма уе"
"AFTER ESSENTIALS","Пончо","11327","P18-HP-PW","Пончо HYPE Pacific Wash S18","Пончо After HYPE Pacific Wash S18","P18-HP-PW, OS, S18","OS","S18","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=11327&dispatch=products.search","2017000049883","42",,,"1","20","33.6",,"0"
"AFTER ESSENTIALS","Пончо","11326","P18-HP-PP","Пончо HYPE Pale Pink S18","Пончо After HYPE Pale Pink S18","P18-HP-PP, OS, S18","OS","S18","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=11326&dispatch=products.search","2017000049876","42",,,"1","20","33.6",,"0"
"ANIMAL","Аксессуары","9237","DW7SL304-Y87","Портмоне женское BRIANA","Портмоне Animal женское BRIANA SHADOW BLACK (Y87)","DW7SL304 Y87, OS, S17","OS","S17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=9237&dispatch=products.search","2017000009306",,"15",,"1","50","7.5",,"0"
"ANIMAL","Аксессуары","9234","DW7SL301-Y87","Портмоне женское BUZIOS","Портмоне Animal женское BUZIOS SHADOW BLACK (Y87)","DW7SL301 Y87, OS, S17","OS","S17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=9234&dispatch=products.search","2017000009276",,"11",,"2","50","5.5",,"0"
"ANIMAL","Аксессуары","9235","DW7SL301-605","Портмоне женское BUZIOS","Портмоне Animal женское BUZIOS BLACK/WHITE (605)","DW7SL301 605, OS, S17","OS","S17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=9235&dispatch=products.search","2017000009283",,"11",,"2","50","5.5",,"0"
"ANIMAL","Аксессуары","9242","DW7SL311-011","Портмоне женское KARLI","Портмоне Animal женское KARLI BROWN (011)","DW7SL311 011, OS, S17","OS","S17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=9242&dispatch=products.search","2017000009351",,"21",,"2","50","10.5",,"0"
"ANIMAL","Аксессуары","9238","DW7SL305-167","Портмоне женское KELLI","Портмоне Animal женское KELLI TAN (167)","DW7SL305 167, OS, S17","OS","S17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=9238&dispatch=products.search","2017000009313",,"18",,"2","50","9",,"0"
"ANIMAL","Аксессуары","9245","DW7SL316-Y87","Портмоне женское KENDALL","Портмоне Animal женское KENDALL SHADOW BLACK (Y87)","DW7SL316 Y87, OS, S17","OS","S17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=9245&dispatch=products.search","2017000009382",,"26",,"2","50","13",,"0"
"ANIMAL","Аксессуары","9241","DW7SL309-279","Портмоне женское KENDRA","Портмоне Animal женское KENDRA MULTICOLOUR (279)","DW7SL309 279, OS, S17","OS","S17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=9241&dispatch=products.search","2017000009344",,"20",,"более 3","50","10",,"0"
"ANIMAL","Аксессуары","9240","DW7SL308-Y77","Портмоне женское KRISTA","Портмоне Animal женское KRISTA SUMMER PINK (Y77)","DW7SL308 Y77, OS, S17","OS","S17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=9240&dispatch=products.search","2017000009337",,"20",,"1","50","10",,"0"
